"Player","Team","PS","Min","3M","3A","FTM","FTA","TR","AS","ST","TO","BK","PF","DQ","PTS","TC","Sta","+/-"
"plumlee,mason","por","PF",2087,0.0,0.0,0.1030186871106852,0.6417910447761194,0.3009103977000479,0.10828941063727839,0.03258265452803066,0.07379012937230474,0.0392908481073311,0.12122664111164351,4,0.35888835649257306,1,82,31
"plumlee,miles","mil","C",869,0.0,0.0,0.039125431530494824,0.576271186440678,0.2669735327963176,0.018411967779056387,0.024165707710011506,0.04602991944764097,0.05753739930955121,0.08400460299194476,0,0.3613348676639816,1,14,-95
"porter,otto","was","SF",2272,0.043133802816901406,0.36704119850187267,0.04181338028169014,0.753968253968254,0.17209507042253522,0.05237676056338028,0.04621478873239437,0.030809859154929578,0.014084507042253521,0.07174295774647887,0,0.383362676056338,0,73,46
"portis,bobby","chi","PF",1103,0.014505893019038985,0.3076923076923077,0.043517679057116954,0.7272727272727273,0.3055303717135086,0.0471441523118767,0.022665457842248413,0.04986400725294651,0.019945602901178604,0.09066183136899365,0,0.3952855847688123,1,4,-178
"porzingis,krista","nyk","PF",2050,0.03951219512195122,0.3333333333333333,0.09804878048780488,0.8375,0.25609756097560976,0.045365853658536584,0.025365853658536587,0.059024390243902436,0.06536585365853659,0.1,2,0.5014634146341463,1,72,10
"powell,dwight","dal","PF",996,0.002008032128514056,0.125,0.10542168674698796,0.7394366197183099,0.2740963855421687,0.04417670682730924,0.03614457831325301,0.040160642570281124,0.024096385542168676,0.11746987951807229,1,0.4006024096385542,0,2,-81
"powell,norman","tor","SG",729,0.04938271604938271,0.4090909090909091,0.05898491083676269,0.8113207547169812,0.1522633744855967,0.0644718792866941,0.039780521262002745,0.0438957475994513,0.013717421124828532,0.08093278463648834,0,0.37448559670781895,0,24,67
"pressey,phil","pho","SG",280,0.014285714285714285,0.23529411764705882,0.04642857142857143,0.52,0.10357142857142858,0.2571428571428571,0.060714285714285714,0.11785714285714285,0.014285714285714285,0.1,0,0.275,0,0,-41
"price,ronnie","pho","PG",1210,0.05619834710743802,0.3487179487179487,0.0256198347107438,0.7560975609756098,0.08181818181818182,0.12148760330578512,0.06115702479338843,0.05785123966942149,0.010743801652892562,0.13305785123966943,2,0.2735537190082645,0,18,-72
"prigioni,pablo","lac","PG",816,0.03431372549019608,0.29473684210526313,0.00857843137254902,0.875,0.13970588235294118,0.15931372549019607,0.06495098039215687,0.06004901960784314,0.0012254901960784314,0.10049019607843138,0,0.17769607843137256,0,3,-57
